Дата;Отрасль;Значение
31.05.2017;Сельское хозяйство;20765.00
31.05.2017;Спорт и досуг;19271.00
31.05.2017;Строительство;27875.00
31.05.2017;Торговля;21897.00
31.05.2017;Транспортировка и хранение;28888.00
31.05.2017;Услуги ЖКХ;29147.00
31.05.2017;Финансы и страхование;35936.00
30.06.2017;Административная деятельность;18270.00
30.06.2017;Водоснабжение;20861.00
30.06.2017;Гос. управление;32590.00
30.06.2017;Гостиницы и общепит;18766.00
30.06.2017;Добыча полезных ископаемых;35047.00
30.06.2017;Здравоохранение;21854.00
30.06.2017;ИТ и связь;30000.00
30.06.2017;Научная и проф. деятельность;34246.00
30.06.2017;Обрабатывающие производства;26350.00
30.06.2017;Образование;28191.00
30.06.2017;Операции с недвижимостью;20811.00
30.06.2017;Сельское хозяйство;20200.00
30.06.2017;Спорт и досуг;22774.00
30.06.2017;Строительство;27659.00
30.06.2017;Торговля;21800.00
30.06.2017;Транспортировка и хранение;28716.00
30.06.2017;Услуги ЖКХ;28921.00
30.06.2017;Финансы и страхование;36007.00
31.07.2017;Административная деятельность;18292.00
31.07.2017;Водоснабжение;21015.00
31.07.2017;Гос. управление;31757.00
31.07.2017;Гостиницы и общепит;18768.00
31.07.2017;Добыча полезных ископаемых;34929.00
31.07.2017;Здравоохранение;20980.00
31.07.2017;ИТ и связь;29431.00
31.07.2017;Научная и проф. деятельность;32860.00
31.07.2017;Обрабатывающие производства;26100.00
31.07.2017;Образование;16772.00
31.07.2017;Операции с недвижимостью;20569.00
31.07.2017;Сельское хозяйство;21530.00
31.07.2017;Спорт и досуг;19857.00
31.07.2017;Строительство;29058.00
31.07.2017;Торговля;21894.00
31.07.2017;Транспортировка и хранение;28531.00
31.07.2017;Услуги ЖКХ;28290.00
31.07.2017;Финансы и страхование;41695.00
31.08.2017;Административная деятельность;18384.00
31.08.2017;Водоснабжение;21141.00
31.08.2017;Гос. управление;30794.00
31.08.2017;Гостиницы и общепит;18434.00
31.08.2017;Добыча полезных ископаемых;35320.00
31.08.2017;Здравоохранение;20085.00
31.08.2017;ИТ и связь;29008.00
31.08.2017;Научная и проф. деятельность;31630.00
31.08.2017;Обрабатывающие производства;25809.00
31.08.2017;Образование;15660.00
31.08.2017;Операции с недвижимостью;20555.00
31.08.2017;Сельское хозяйство;21568.00
31.08.2017;Спорт и досуг;18409.00
31.08.2017;Строительство;28708.00
31.08.2017;Торговля;22071.00
31.08.2017;Транспортировка и хранение;28929.00
31.08.2017;Услуги ЖКХ;28098.00
31.08.2017;Финансы и страхование;35733.00
30.09.2017;Административная деятельность;17884.00
30.09.2017;Водоснабжение;20323.00
30.09.2017;Гос. управление;30545.00
30.09.2017;Гостиницы и общепит;18553.00
30.09.2017;Добыча полезных ископаемых;33900.00
30.09.2017;Здравоохранение;19983.00
30.09.2017;ИТ и связь;28022.00
30.09.2017;Научная и проф. деятельность;31971.00
30.09.2017;Обрабатывающие производства;25672.00
30.09.2017;Образование;20252.00
30.09.2017;Операции с недвижимостью;20000.00
30.09.2017;Сельское хозяйство;21228.00
30.09.2017;Спорт и досуг;19753.00
30.09.2017;Строительство;27406.00
30.09.2017;Торговля;21437.00
30.09.2017;Транспортировка и хранение;28115.00
30.09.2017;Услуги ЖКХ;26667.00
30.09.2017;Финансы и страхование;34800.00
31.10.2017;Административная деятельность;18351.00
31.10.2017;Водоснабжение;21062.00
31.10.2017;Гос. управление;29710.00
31.10.2017;Гостиницы и общепит;18846.00
31.10.2017;Добыча полезных ископаемых;35925.00
